idx,GoTrial,StopSignal,Cond,trial_type,choice,response,acc,rt,ssd
40,1,1000,bsl,go,go,1,1.0,0.3849256,1000
40,1,1000,bsl,go,go,1,1.0,0.5313583000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.3717849,1000
40,1,1000,bsl,go,go,1,1.0,0.4785902,1000
40,1,1000,bsl,go,go,1,1.0,0.5451473000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5184034000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.4916231,1000
40,1,1000,bsl,go,go,1,1.0,0.5450918,1000
40,1,1000,bsl,go,go,1,1.0,0.4916958,1000
40,1,1000,bsl,go,go,1,1.0,0.5316618999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.597314,1000
40,1,1000,bsl,go,go,1,1.0,0.5049342000000001,1000
40,0,300,bsl,stop,go,1,0.0,0.4517285,300
40,0,300,bsl,stop,stop,0,1.0,0.6514515000000001,300
40,0,400,bsl,stop,go,1,0.0,0.5584587000000001,400
40,1,1000,bsl,go,go,1,1.0,0.5715608,1000
40,0,200,bsl,stop,stop,0,1.0,0.6512133000000001,200
40,0,350,bsl,stop,go,1,0.0,0.5582018000000001,350
40,1,1000,bsl,go,go,1,1.0,0.5707995,1000
40,1,1000,bsl,go,go,1,1.0,0.5585063,1000
40,1,1000,bsl,go,go,1,1.0,0.5584074000000001,1000
40,0,250,bsl,stop,stop,0,1.0,0.651543,250
40,1,1000,bsl,go,go,1,1.0,0.5450384,1000
40,1,1000,bsl,go,go,1,1.0,0.4651548,1000
40,0,250,bsl,stop,stop,0,1.0,0.6516002,250
40,1,1000,bsl,go,go,1,1.0,0.5983818000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5048962,1000
40,1,1000,bsl,go,go,1,1.0,0.6251078999999999,1000
40,0,350,bsl,stop,go,1,0.0,0.5452618,350
40,0,400,bsl,stop,go,1,0.0,0.5850529999999999,400
40,1,1000,bsl,go,go,1,1.0,0.6514643999999999,1000
40,0,200,bsl,stop,stop,0,1.0,0.6515550999999999,200
40,1,1000,bsl,go,go,1,1.0,0.6115408999999999,1000
40,0,200,bsl,stop,stop,0,1.0,0.6516871999999999,200
40,1,1000,bsl,go,go,1,1.0,0.5182583,1000
40,0,400,bsl,stop,go,1,0.0,0.5315784,400
40,1,1000,bsl,go,go,1,1.0,0.5983998,1000
40,0,250,bsl,stop,stop,0,1.0,0.6506911999999999,250
40,1,1000,bsl,go,go,1,1.0,0.5983987,1000
40,0,300,bsl,stop,stop,0,1.0,0.6516999,300
40,0,250,bsl,stop,stop,0,1.0,0.6516069999999999,250
40,1,1000,bsl,go,go,1,1.0,0.5317843000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5851249000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5717589000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5583612000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5584145,1000
40,0,350,bsl,stop,go,1,0.0,0.5717257,350
40,0,300,bsl,stop,stop,0,1.0,0.6514989000000001,300
