idx,Cond,pGo,pGo_split,ttype,response,acc,choice,rt
1,bsl,1.0,1,go,1,1,go,0.4798492999999999
1,bsl,1.0,1,go,1,1,go,0.3716127
1,bsl,1.0,1,go,1,1,go,0.5049754
1,bsl,1.0,1,go,1,1,go,0.5183041
1,bsl,1.0,1,go,1,1,go,0.4917201
1,bsl,1.0,1,go,1,1,go,0.4918629
1,bsl,1.0,1,go,1,1,go,0.47845600000000005
1,bsl,1.0,1,go,1,1,go,0.5064681
1,bsl,0.6,1,go,1,1,go,0.5450055
1,bsl,1.0,1,go,1,1,go,0.4917838
1,bsl,1.0,1,go,1,1,go,0.4784223
1,bsl,0.0,2,go,0,0,stop,0.5583895000000001
1,bsl,0.2,2,go,1,1,go,0.5184479999999999
1,bsl,0.8,1,go,1,1,go,0.5583836999999999
1,bsl,0.8,1,go,1,1,go,0.5450564999999999
1,bsl,0.6,1,go,1,1,go,0.5582688
1,bsl,0.2,2,go,1,1,go,0.5468970000000001
1,bsl,1.0,1,go,1,1,go,0.5451431
1,bsl,0.0,2,go,0,0,stop,0.5450484
1,bsl,1.0,1,go,1,1,go,0.5450337
1,bsl,0.0,2,go,0,0,stop,0.5451146
1,bsl,0.4,2,go,1,1,go,0.5450693
1,bsl,0.4,2,go,1,1,go,0.5451020000000001
1,bsl,0.4,2,go,0,0,stop,0.5450596
1,bsl,0.8,1,go,1,1,go,0.5450927
1,bsl,0.6,1,go,1,1,go,0.5582706000000001
1,bsl,0.4,2,go,1,1,go,0.5450068
1,bsl,0.6,1,go,1,1,go,0.5450253
1,bsl,0.2,2,go,0,0,stop,0.5579196999999999
1,bsl,0.0,2,go,1,1,go,0.4783501
1,bsl,0.2,2,go,0,0,stop,0.5451322
1,bsl,0.8,1,go,0,0,stop,0.545126
1,bsl,1.0,1,go,1,1,go,0.4666706
1,bsl,0.4,2,go,0,0,stop,0.5450339
1,bsl,0.2,2,go,0,0,stop,0.5450658
1,bsl,1.0,1,go,1,1,go,0.5583041
1,bsl,0.4,2,go,1,1,go,0.5583508
1,bsl,0.0,2,go,0,0,stop,0.5451115
1,bsl,0.0,2,go,0,0,stop,0.5450408
1,bsl,0.4,2,go,0,0,stop,0.5450486
1,bsl,0.8,1,go,1,1,go,0.5583421
1,bsl,0.6,1,go,0,0,stop,0.5450633
1,bsl,1.0,1,go,1,1,go,0.5451419
1,bsl,0.4,2,go,0,0,stop,0.5450116
1,bsl,0.6,1,go,0,0,stop,0.5451140999999999
1,bsl,0.0,2,go,0,0,stop,0.5452961
1,bsl,0.0,2,go,0,0,stop,0.5451608
1,bsl,1.0,1,go,1,1,go,0.5451296
1,bsl,0.2,2,go,0,0,stop,0.5450497
1,bsl,0.8,1,go,1,1,go,0.5450594
1,bsl,0.6,1,go,0,0,stop,0.5450109999999999
1,bsl,0.8,1,go,1,1,go,0.3985694
1,bsl,0.2,2,go,1,1,go,0.5582934
1,bsl,0.8,1,go,1,1,go,0.5317639000000001
1,bsl,0.2,2,go,1,1,go,0.5451623999999999
1,bsl,0.6,1,go,1,1,go,0.5184688000000001
1,bsl,1.0,1,go,1,1,go,0.5317814000000001
1,bsl,1.0,1,go,1,1,go,0.5335386999999999
1,bsl,0.4,2,go,1,1,go,0.5451274
1,bsl,0.0,2,go,0,0,stop,0.5579029000000001
1,bsl,0.0,2,go,0,0,stop,0.5451533000000001
1,bsl,0.6,1,go,1,1,go,0.5317622
1,bsl,0.2,2,go,1,1,go,0.5450272
1,bsl,0.4,2,go,0,0,stop,0.545024
1,bsl,0.0,2,go,0,0,stop,0.5452071
1,bsl,0.4,2,go,1,1,go,0.5450295000000001
1,bsl,0.2,2,go,0,0,stop,0.5450741
1,bsl,0.8,1,go,1,1,go,0.5189381
1,bsl,0.2,2,go,1,1,go,0.5468980999999999
1,bsl,0.8,1,go,1,1,go,0.5451334
1,bsl,1.0,1,go,1,1,go,0.5451249
1,bsl,0.0,2,go,0,0,stop,0.5451522
1,bsl,1.0,1,go,1,1,go,0.5449649999999999
1,bsl,0.6,1,go,1,1,go,0.5583004
1,bsl,0.6,1,go,1,1,go,0.5451301
1,bsl,0.6,1,go,1,1,go,0.5459504
1,bsl,0.8,1,go,1,1,go,0.5051627000000001
1,bsl,0.4,2,go,0,0,stop,0.5451656
1,bsl,1.0,1,go,1,1,go,0.5317641
1,bsl,0.8,1,go,1,1,go,0.5184544
1,bsl,1.0,1,go,1,1,go,0.5184873999999999
1,bsl,0.2,2,go,1,1,go,0.5450055
1,bsl,1.0,1,go,1,1,go,0.5201942
1,bsl,0.8,1,go,1,1,go,0.5450851
1,bsl,1.0,1,go,1,1,go,0.5317635000000001
1,bsl,0.0,2,go,0,0,stop,0.5450583000000001
1,bsl,0.4,2,go,0,0,stop,0.5450842
1,bsl,0.0,2,go,0,0,stop,0.5451838999999999
1,bsl,0.8,1,go,1,1,go,0.5451158
1,bsl,0.4,2,go,0,0,stop,0.5451100999999999
1,bsl,0.2,2,go,1,1,go,0.5450636
1,bsl,0.0,2,go,0,0,stop,0.54686
1,bsl,0.4,2,go,0,0,stop,0.5452597
1,bsl,1.0,1,go,1,1,go,0.5451876
1,bsl,0.8,1,go,1,1,go,0.4651396
1,bsl,1.0,1,go,1,1,go,0.5452149000000001
1,bsl,1.0,1,go,1,1,go,0.5184395
1,bsl,0.0,2,go,0,0,stop,0.5450969
1,bsl,0.6,1,go,1,1,go,0.5318710999999999
1,bsl,0.2,2,go,0,0,stop,0.5451231
1,bsl,0.6,1,go,1,1,go,0.5573982
1,bsl,0.4,2,go,0,0,stop,0.5451176
1,bsl,0.2,2,go,0,0,stop,0.5450958
1,bsl,0.8,1,go,1,1,go,0.5317549
1,bsl,0.2,2,go,0,0,stop,0.5451451999999999
1,bsl,0.6,1,go,0,0,stop,0.545057
1,bsl,0.6,1,go,0,0,stop,0.5451590000000001
1,bsl,1.0,1,go,1,1,go,0.5202397
1,bsl,0.8,1,go,1,1,go,0.5317746999999999
1,bsl,0.6,1,go,0,0,stop,0.5580401999999999
1,bsl,1.0,1,go,1,1,go,0.5316565
1,bsl,1.0,1,go,1,1,go,0.504925
1,bsl,0.8,1,go,1,1,go,0.5450050999999999
1,bsl,0.0,2,go,0,0,stop,0.5580488
1,bsl,0.8,1,go,1,1,go,0.5450411999999999
1,bsl,0.2,2,go,0,0,stop,0.5451018
1,bsl,1.0,1,go,1,1,go,0.531714
1,bsl,0.0,2,go,0,0,stop,0.5450579000000001
1,bsl,0.4,2,go,0,0,stop,0.5451782
1,bsl,0.2,2,go,0,0,stop,0.5451626
1,bsl,1.0,1,go,1,1,go,0.5317706
1,bsl,0.4,2,go,0,0,stop,0.5582834
1,bsl,0.8,1,go,1,1,go,0.5317475
1,bsl,0.2,2,go,1,1,go,0.5451007
1,bsl,0.4,2,go,0,0,stop,0.5452555
1,bsl,0.6,1,go,0,0,stop,0.5455299
1,bsl,0.0,2,go,0,0,stop,0.5582241
1,bsl,0.4,2,go,0,0,stop,0.545006
1,bsl,0.6,1,go,1,1,go,0.5318151999999999
1,bsl,0.0,2,go,0,0,stop,0.5451969
1,bsl,0.6,1,go,1,1,go,0.4918187
1,bsl,0.2,2,go,0,0,stop,0.5452365
1,bsl,1.0,1,go,1,1,go,0.4779107
1,bsl,0.2,2,go,1,1,go,0.5451661
1,bsl,0.6,1,go,0,0,stop,0.5451295
1,bsl,0.2,2,go,0,0,stop,0.5451566
1,bsl,1.0,1,go,1,1,go,0.5184189
1,bsl,0.0,2,go,0,0,stop,0.5453081999999999
1,bsl,0.8,1,go,1,1,go,0.49192939999999996
1,bsl,0.8,1,go,1,1,go,0.5451103
1,bsl,1.0,1,go,1,1,go,0.5184299
1,bsl,0.6,1,go,0,0,stop,0.5583156
1,bsl,0.8,1,go,1,1,go,0.5450575
1,bsl,0.0,2,go,0,0,stop,0.5450891999999999
1,bsl,0.2,2,go,0,0,stop,0.545071
1,bsl,0.8,1,go,1,1,go,0.4917834
1,bsl,0.0,2,go,0,0,stop,0.5450162
