idx,pGo,Cond,response,choice,rt,HL
1,1.0,bsl,1,go,0.4798493,1
1,1.0,bsl,1,go,0.3716127,1
1,1.0,bsl,1,go,0.5049754,1
1,1.0,bsl,1,go,0.5183041,1
1,1.0,bsl,1,go,0.4917201,1
1,1.0,bsl,1,go,0.4918629,1
1,1.0,bsl,1,go,0.478456,1
1,1.0,bsl,1,go,0.5064681,1
1,0.6,bsl,1,go,0.5450055,1
1,1.0,bsl,1,go,0.4917838,1
1,1.0,bsl,1,go,0.4784223,1
1,0.0,bsl,0,stop,0.5583895,2
1,0.2,bsl,1,go,0.518448,2
1,0.8,bsl,1,go,0.5583837,1
1,0.8,bsl,1,go,0.5450565,1
1,0.6,bsl,1,go,0.5582688,1
1,0.2,bsl,1,go,0.546897,2
1,1.0,bsl,1,go,0.5451431,1
1,0.0,bsl,0,stop,0.5450484,2
1,1.0,bsl,1,go,0.5450337,1
1,0.0,bsl,0,stop,0.5451146,2
1,0.4,bsl,1,go,0.5450693,2
1,0.4,bsl,1,go,0.545102,2
1,0.4,bsl,0,stop,0.5450596,2
1,0.8,bsl,1,go,0.5450927,1
1,0.6,bsl,1,go,0.5582706,1
1,0.4,bsl,1,go,0.5450068,2
1,0.6,bsl,1,go,0.5450253,1
1,0.2,bsl,0,stop,0.5579197,2
1,0.0,bsl,1,go,0.4783501,2
1,0.2,bsl,0,stop,0.5451322,2
1,0.8,bsl,0,stop,0.545126,1
1,1.0,bsl,1,go,0.4666706,1
1,0.4,bsl,0,stop,0.5450339,2
1,0.2,bsl,0,stop,0.5450658,2
1,1.0,bsl,1,go,0.5583041,1
1,0.4,bsl,1,go,0.5583508,2
1,0.0,bsl,0,stop,0.5451115,2
1,0.0,bsl,0,stop,0.5450408,2
1,0.4,bsl,0,stop,0.5450486,2
1,0.8,bsl,1,go,0.5583421,1
1,0.6,bsl,0,stop,0.5450633,1
1,1.0,bsl,1,go,0.5451419,1
1,0.4,bsl,0,stop,0.5450116,2
1,0.6,bsl,0,stop,0.5451141,1
