idx,Cond,ttype,choice,response,acc,rt,ssd
28,bsl,go,go,1,1,0.5985345,1000
28,bsl,go,go,1,1,0.5201688,1000
28,bsl,go,go,1,1,0.5451286,1000
28,bsl,go,go,1,1,0.5715873,1000
28,bsl,go,go,1,1,0.5052208,1000
28,bsl,go,go,1,1,0.5050794,1000
28,bsl,go,go,1,1,0.505102,1000
28,bsl,go,go,1,1,0.491821,1000
28,bsl,go,go,1,1,0.4784047,1000
28,bsl,go,go,1,1,0.5316641,1000
28,bsl,go,go,1,1,0.5050139,1000
28,bsl,go,go,1,1,0.5183187,1000
28,bsl,go,go,1,1,0.5450414,1000
28,bsl,stop,go,1,0,0.5052187,300
28,bsl,go,go,1,1,0.5183921,1000
28,bsl,stop,stop,0,1,0.651827,200
28,bsl,stop,go,1,0,0.5584328,350
28,bsl,go,go,1,1,0.5585143,1000
28,bsl,stop,stop,0,1,0.6517594,200
28,bsl,stop,stop,0,1,0.6517444,250
28,bsl,go,go,1,1,0.5185226,1000
28,bsl,go,go,1,1,0.5581228,1000
28,bsl,stop,stop,0,1,0.6518227,250
28,bsl,stop,go,1,0,0.5318489,400
28,bsl,stop,stop,0,1,0.6517759,350
28,bsl,go,go,1,1,0.5583936,1000
28,bsl,go,go,1,1,0.5454531,1000
28,bsl,go,go,1,1,0.5319369,1000
28,bsl,go,go,1,1,0.5453157,1000
28,bsl,stop,go,1,0,0.544897,400
28,bsl,go,go,1,1,0.5452931,1000
28,bsl,stop,stop,0,1,0.6516594,300
28,bsl,go,go,1,1,0.5334953,1000
28,bsl,stop,stop,0,1,0.6515216,300
28,bsl,go,go,1,1,0.5584328,1000
28,bsl,stop,stop,0,1,0.6517924,300
28,bsl,stop,stop,0,1,0.6516261,200
28,bsl,go,go,1,1,0.5584805,1000
28,bsl,go,go,1,1,0.5584345,1000
28,bsl,go,go,1,1,0.5584242,1000
28,bsl,stop,stop,0,1,0.6506473,200
28,bsl,stop,go,1,0,0.5317022,400
28,bsl,stop,stop,0,1,0.6517821,350
28,bsl,go,go,1,1,0.5584359,1000
28,bsl,go,go,1,1,0.5718611,1000
28,bsl,stop,stop,0,1,0.6517302,250
28,bsl,go,go,1,1,0.5584842,1000
28,bsl,go,go,1,1,0.5851181,1000
28,bsl,stop,go,1,0,0.5184858,350
28,bsl,go,go,1,1,0.5318652,1000
28,bsl,go,go,1,1,0.5586405,1000
28,bsl,stop,go,1,0,0.5451685,400
28,bsl,stop,stop,0,1,0.6535513,250
28,bsl,go,go,1,1,0.5735166,1000
28,bsl,go,go,1,1,0.5450628,1000
28,bsl,stop,stop,0,1,0.6516888,300
28,bsl,go,go,1,1,0.4917825,1000
28,bsl,stop,stop,0,1,0.6517251,300
28,bsl,stop,stop,0,1,0.6517049,250
28,bsl,stop,go,1,0,0.5585502,350
28,bsl,go,go,1,1,0.5850638,1000
28,bsl,go,go,1,1,0.5727784,1000
28,bsl,stop,go,1,0,0.5318695,400
28,bsl,stop,stop,0,1,0.6529769,250
28,bsl,go,go,1,1,0.5584473,1000
28,bsl,go,go,1,1,0.6000671,1000
28,bsl,stop,stop,0,1,0.6517832,200
28,bsl,go,go,1,1,0.5585879,1000
28,bsl,stop,stop,0,1,0.6518815,350
28,bsl,stop,stop,0,1,0.6515802,200
28,bsl,go,go,1,1,0.5851189,1000
28,bsl,stop,go,1,0,0.5582333,400
28,bsl,go,go,1,1,0.5717695,1000
28,bsl,go,go,1,1,0.5318655,1000
28,bsl,go,go,1,1,0.5336156,1000
28,bsl,stop,go,1,0,0.5716825,400
28,bsl,stop,stop,0,1,0.6517889,300
28,bsl,go,go,1,1,0.5851527,1000
28,bsl,go,go,1,1,0.5984204,1000
28,bsl,stop,stop,0,1,0.6517737,250
28,bsl,go,go,1,1,0.4918505,1000
28,bsl,go,go,1,1,0.558431,1000
28,bsl,stop,stop,0,1,0.6517473,250
28,bsl,stop,stop,0,1,0.6517525,200
28,bsl,stop,go,1,0,0.4651386,350
28,bsl,go,go,1,1,0.5983678,1000
28,bsl,go,go,1,1,0.5051398,1000
28,bsl,stop,stop,0,1,0.6517611,300
28,bsl,stop,stop,0,1,0.6515608,350
28,bsl,stop,stop,0,1,0.6517211,200
28,bsl,go,go,1,1,0.5717069,1000
28,bsl,go,go,1,1,0.5717822,1000
28,bsl,go,go,1,1,0.5449148,1000
28,bsl,go,go,1,1,0.5451584,1000
28,bsl,stop,go,1,0,0.5051069,400
28,bsl,go,go,1,1,0.5603723,1000
28,bsl,stop,go,1,0,0.5317004,400
28,bsl,go,go,1,1,0.5318214,1000
28,bsl,stop,stop,0,1,0.6517318,200
28,bsl,go,go,1,1,0.5452108,1000
28,bsl,stop,stop,0,1,0.6518657,250
28,bsl,go,go,1,1,0.571771,1000
28,bsl,stop,stop,0,1,0.6517069,300
28,bsl,go,go,1,1,0.5317697,1000
28,bsl,stop,stop,0,1,0.6517151,300
28,bsl,go,go,1,1,0.465269,1000
28,bsl,stop,stop,0,1,0.651604,350
28,bsl,go,go,1,1,0.5184823,1000
28,bsl,go,go,1,1,0.5850152,1000
28,bsl,stop,stop,0,1,0.6517803,350
28,bsl,go,go,1,1,0.5716432,1000
28,bsl,stop,stop,0,1,0.6516964,250
28,bsl,stop,stop,0,1,0.6614309,200
28,bsl,go,go,1,1,0.5317778,1000
28,bsl,stop,go,1,0,0.5184781,400
28,bsl,go,go,1,1,0.5985067,1000
28,bsl,go,go,1,1,0.518534,1000
28,bsl,stop,go,1,0,0.5716471,400
28,bsl,go,go,1,1,0.5451389,1000
28,bsl,go,go,1,1,0.5850709,1000
28,bsl,go,go,1,1,0.4918819,1000
